S.No,Gender,Age_Group,Skin_Type,Skin_Concern,Recommended_Products
1,Male,15-20,Combination,Wrinkles,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
2,Male,21-25,Dry,Sensitivity,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
3,Female,41-45,Combination,Darkness,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
4,Male,41-45,Oily,Wrinkles,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
5,Male,26-30,Sensitive,Dullness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
6,Female,31-35,Dry,Dullness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
7,Female,Above 45,Dry,Dullness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
8,Male,Above 45,Normal,Sensitivity,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
9,Male,21-25,Oily,Oiliness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
10,Male,26-30,Normal,Dullness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
11,Female,26-30,Normal,Dryness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
12,Female,31-35,Dry,Dullness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
13,Female,21-25,Dry,Darkness,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
14,Male,21-25,Combination,Wrinkles,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
15,Male,15-20,Sensitive,Dullness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
16,Female,26-30,Dry,Sensitivity,Cream Cleanser | Hyaluronic Acid Serum | Ceramide Moisturizer
17,Female,21-25,Sensitive,Acne,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
18,Male,26-30,Oily,Sensitivity,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
19,Female,26-30,Oily,Sensitivity,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
20,Male,26-30,Combination,Wrinkles,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
21,Male,15-20,Sensitive,Wrinkles,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
22,Male,36-40,Sensitive,Sensitivity,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
23,Female,31-35,Normal,Pigmentation,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
24,Male,15-20,Oily,Acne,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
25,Female,21-25,Sensitive,Darkness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
26,Male,26-30,Normal,Sensitivity,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
27,Female,15-20,Normal,Darkness,Mild Face Wash | Antioxidant Serum | Daily Hydration Moisturizer
28,Male,36-40,Oily,Dryness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
29,Female,26-30,Oily,Pigmentation,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
30,Female,26-30,Oily,Oiliness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
31,Male,Above 45,Oily,Dullness,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
32,Female,31-35,Oily,Pigmentation,Salicylic Face Wash | Niacinamide Serum | Oil-Free Gel Moisturizer
33,Female,31-35,Sensitive,Oiliness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
34,Male,Above 45,Sensitive,Acne,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
35,Female,21-25,Combination,Acne,Gentle Foam Cleanser | Vitamin C Serum | Light Hydrating Moisturizer
36,Female,31-35,Sensitive,Dullness,Aloe Vera Cleanser | Soothing Serum | Calming Moisturizer
